entry	pos	evidence	note	origin
A0A0B4K692	1-20	ECO:0000305	Cytoplasmic	topological_domain
A0A0B4K692	42-774	ECO:0000305	Extracellular	topological_domain
A0A0B4K753	1-14	ECO:0000305	Lumenal	topological_domain
A0A0B4K753	38-88	ECO:0000305	Cytoplasmic	topological_domain
A0A0B7P9G0	204-244	ECO:0000305	Cytoplasmic	topological_domain
A0A0B7P9G0	21-182	ECO:0000305	Extracellular	topological_domain
A0A0B7P9G0	266-267	ECO:0000305	Extracellular	topological_domain
A0A0B7P9G0	289-298	ECO:0000305	Cytoplasmic	topological_domain
A0A0B7P9G0	320-834	ECO:0000305	Extracellular	topological_domain
A0A0U1QT59	1-353	ECO:0000305	Cytoplasmic	topological_domain
A0A0U1QT59	1330-1358	ECO:0000305	Extracellular	topological_domain
A0A0U1QT59	1380-1423	ECO:0000305	Cytoplasmic	topological_domain
A0A0U1QT59	1445-2036	ECO:0000305	Extracellular	topological_domain
A0A0U1QT59	375-395	ECO:0000305	Extracellular	topological_domain
A0A0U1QT59	419-432	ECO:0000305	Cytoplasmic	topological_domain
A0A0U1QT59	454-526	ECO:0000305	Extracellular	topological_domain
A0A0U1QT59	548-567	ECO:0000305	Cytoplasmic	topological_domain
A0A0U1QT59	589-599	ECO:0000305	Extracellular	topological_domain
A0A0U1QT59	621-1308	ECO:0000305	Cytoplasmic	topological_domain
A0A1F4	1-122	ECO:0000255	Cytoplasmic	topological_domain
A0A1F4	144-2176	ECO:0000255	Extracellular	topological_domain
A1Z6H7	1797-1876	ECO:0000305	Cytoplasmic	topological_domain
A1Z6H7	21-1775	ECO:0000305	Perinuclear space	topological_domain
A1Z7G7	1-753	ECO:0000255	Extracellular	topological_domain
A1Z7G7	1007-1697	ECO:0000255	Cytoplasmic	topological_domain
A1Z7G7	775-787	ECO:0000255	Cytoplasmic	topological_domain
A1Z7G7	809-814	ECO:0000255	Extracellular	topological_domain
A1Z7G7	836-861	ECO:0000255	Cytoplasmic	topological_domain
A1Z7G7	883-906	ECO:0000255	Extracellular	topological_domain
A1Z7G7	928-954	ECO:0000255	Cytoplasmic	topological_domain
A1Z7G7	976-985	ECO:0000255	Extracellular	topological_domain
A1Z7L8	21-239	ECO:0000305	Extracellular	topological_domain
A1Z7L8	261-622	ECO:0000305	Cytoplasmic	topological_domain
A1Z7U3	1-4	ECO:0000255	Lumenal	topological_domain
A1Z7U3	26-40	ECO:0000255	Cytoplasmic	topological_domain
A1Z8N1	1-392	ECO:0000255	Cytoplasmic	topological_domain
A1Z8N1	414-440	ECO:0000255	Extracellular	topological_domain
A1Z8N1	462-473	ECO:0000255	Cytoplasmic	topological_domain
A1Z8N1	495-497	ECO:0000255	Extracellular	topological_domain
A1Z8N1	519-528	ECO:0000255	Cytoplasmic	topological_domain
A1Z8N1	550-552	ECO:0000255	Extracellular	topological_domain
A1Z8N1	574-636	ECO:0000255	Cytoplasmic	topological_domain
A1Z8N1	658-673	ECO:0000255	Extracellular	topological_domain
A1Z8N1	695-700	ECO:0000255	Cytoplasmic	topological_domain
A1Z8N1	722-740	ECO:0000255	Extracellular	topological_domain
A1Z8N1	762-767	ECO:0000255	Cytoplasmic	topological_domain
A1Z8N1	789-801	ECO:0000255	Extracellular	topological_domain
A1Z8N1	823-857	ECO:0000255	Cytoplasmic	topological_domain
A1Z8R8	168-182	ECO:0000305	Mitochondrial matrix	topological_domain
A1Z8R8	204-223	ECO:0000305	Mitochondrial intermembrane	topological_domain
A1Z8R8	245-247	ECO:0000305	Mitochondrial matrix	topological_domain
A1Z8R8	269-276	ECO:0000305	Mitochondrial intermembrane	topological_domain
A1Z8R8	298-311	ECO:0000305	Mitochondrial matrix	topological_domain
A1Z8R8	333-351	ECO:0000305	Mitochondrial intermembrane	topological_domain
A1Z8R8	51-73	ECO:0000305	Mitochondrial matrix	topological_domain
A1Z8R8	95-146	ECO:0000305	Mitochondrial intermembrane	topological_domain
