entry	pos	evidence	id	note	origin
A0A0B4K692	1-774		PRO_0000441990	Neprilysin-2	chain
A0A0B4K692	?-774	ECO:0000305	PRO_0000441991	Neprilysin-2, soluble form	chain
A0A0B4K753	1-88		PRO_0000436375	Hemotin	chain
A0A0B4K7J2	1-2718		PRO_0000443733	E3 SUMO-protein ligase RanBP2	chain
A0A0B4K7K9	1-2238		PRO_0000463016	Protein bruchpilot	chain
A0A0B4K859	1-1866	ECO:0000305	PRO_0000451565	Nucleoporin Nup188	chain
A0A0B4KEE4	1-965		PRO_0000454909	Klaroid protein	chain
A0A0B4KGY6	1-780		PRO_0000453455	RNA-binding protein Pasilla	chain
A0A0B4LFY9	1-343		PRO_0000454449	Stimulator of interferon genes protein homolog	chain
A0A0B7P9G0	21-834	ECO:0000255	PRO_5015035038	Unextended protein	chain
A0A0U1QT59	1-2036		PRO_0000453924	Transmembrane channel-like protein	chain
A0A126GUP6	138-400	ECO:0000305	PRO_5007270038	Melanization protease 1	chain
A0A1F4	1-2176		PRO_0000339236	Protein eyes shut	chain
A1A708	1-446		PRO_0000372642	Uncharacterized protein CG4951	chain
A1YK02	1-668		PRO_0000440961	Nuclear pore complex protein Nup75	chain
A1Z6E0	1-279		PRO_0000422158	Protein gustavus	chain
A1Z6H7	21-1876	ECO:0000255	PRO_5015085938	Nuclear pore membrane glycoprotein 210	chain
A1Z6J5	1-523		PRO_0000439453	Tubulin-specific chaperone E	chain
A1Z6K7	1-285		PRO_0000364304	Eukaryotic translation initiation factor 3 subunit F-2	chain
A1Z6L1	1-340		PRO_0000355096	Mitochondrial import receptor subunit TOM40 homolog 2	chain
A1Z6M6	1-396		PRO_0000447984	Hsp70	chain
A1Z6S7	1-635		PRO_0000455599	GTPase-GDP dissociation stimulator vimar	chain
A1Z6W3	1-1299		PRO_0000288834	Protein prickle	chain
A1Z713	1-3321		PRO_0000440688	Intermembrane lipid transfer protein Vps13	chain
A1Z746	1-465		PRO_0000361914	Kynurenine 3-monooxygenase	chain
A1Z7A6	1-1155		PRO_0000440690	ArfGAP with SH3 domain, ANK repeat and PH domain-containing protein	chain
A1Z7A8	1-634	ECO:0000305	PRO_0000436526	Coilin	chain
A1Z7G7	1-1697		PRO_0000393375	Latrophilin Cirl	chain
A1Z7K9	1-1241		PRO_0000441673	PAN2-PAN3 deadenylation complex catalytic subunit PAN2	chain
A1Z7L1	1-1481		PRO_0000458961	Fanconi anemia group I protein homolog	chain
A1Z7L8	21-622	ECO:0000255	PRO_5002641873	Receptor protein serine	chain
A1Z7R6	1-519		PRO_0000458758	Probable peptidoglycan muropeptide transporter SLC46	chain
A1Z7T0	1-1190		PRO_0000415277	Serine	chain
A1Z7U3	1-40		PRO_0000386624	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Ost4	chain
A1Z7Z9	1-1134		PRO_0000429320	Centrosomal protein of 131 kDa	chain
A1Z830	1-485		PRO_0000462209	28S rRNA (uridine-N(3))-methyltransferase	chain
A1Z877	23-1350	ECO:0000255	PRO_5015085945	Nidogen	chain
A1Z897	25-156		PRO_0000383168	Succinate dehydrogenase assembly factor 2-B, mitochondrial	chain
A1Z8D0	1-459	ECO:0000305	PRO_0000445033	Periodic tryptophan protein 1 homolog	chain
A1Z8E9	1-486		PRO_0000284045	BBSome complex member BBS4 homolog	chain
A1Z8F4	1-2577		PRO_0000463385	Protein schnurri	chain
A1Z8J0	1-545		PRO_0000315647	CWF19-like protein 1 homolog	chain
A1Z8N1	1-857		PRO_0000395531	Trehalose transporter 1	chain
A1Z8P9	1-2346		PRO_0000422103	Nucleoprotein TPR	chain
A1Z8R8	51-351	ECO:0000255	PRO_0000451457	Presenilins-associated rhomboid-like protein, mitochondrial	chain
A1Z8X3	1-1977		PRO_0000454387	Protein rotatin homolog	chain
A1Z9A2	1-163		PRO_0000337875	UPF0587 protein CG4646	chain
A1Z9A8	38-652		PRO_0000305034	Small ribosomal subunit protein mS39	chain
A1Z9E2	1-950		PRO_0000341396	Protein lin-54 homolog	chain
A1Z9G2	1-883		PRO_0000447890	Pre-mRNA-splicing factor syf1 homolog	chain
A1Z9J4	1-217		PRO_0000439171	Protein DJ-1alpha	chain
A1Z9L3	1-1242		PRO_0000444533	ATP-dependent RNA helicase DHX8	chain
A1Z9P3	1-1576		PRO_0000286069	Protein Shroom	chain
A1Z9R4	1-1228		PRO_0000308599	Zinc finger protein 423 homolog	chain
A1Z9S1	1-147		PRO_0000420192	Biogenesis of lysosome-related organelles complex 1 subunit 1	chain
A1Z9X0	1-606		PRO_0000430488	Atypical protein kinase C	chain
A1ZA47	1-2194		PRO_0000401106	PDZ and LIM domain protein Zasp	chain
A1ZA55	1-378		PRO_0000454441	Cyclic GMP-AMP synthase-like receptor 1	chain
A1ZA77	1-174		PRO_0000461083	Transmembrane protein 208	chain
A1ZA92	1-995		PRO_0000403780	Polynucleotide 5'-hydroxyl-kinase Nol9	chain
A1ZAB5	1-1448		PRO_0000366382	Protein clueless	chain
A1ZAC4	1-746		PRO_0000461033	Tudor domain-containing protein krimp	chain
A1ZAG4	1-359		PRO_0000438992	Protein mono-ADP-ribosyltransferase Parp16	chain
A1ZAI3	1-543		PRO_0000376020	Putative fatty acyl-CoA reductase CG8303	chain
A1ZAI5	1-625		PRO_0000376019	Putative fatty acyl-CoA reductase CG5065	chain
A1ZAJ2	1-1670		PRO_0000299496	Kinesin-like protein unc-104	chain
A1ZAK1	1-1007		PRO_0000437660	Integrator complex subunit 8	chain
A1ZAU8	1-1630		PRO_0000372861	Patronin	chain
A1ZAV1	1-1336		PRO_0000445803	Coiled-coil and C2 domain-containing protein 2A	chain
A1ZAW0	1-1722		PRO_0000458153	Endoribonuclease Dcr-2	chain
A1ZAW5	1-215		PRO_0000425412	Methylosome subunit pICln	chain
A1ZAX0	1-499	ECO:0000305	PRO_0000435023	Neuropeptide CCHamide-1 receptor	chain
A1ZAX1	1-910		PRO_0000365388	Eukaryotic translation initiation factor 3 subunit C	chain
A1ZAY1	1-355		PRO_0000438853	SH3 domain-containing protein Dlish	chain
A1ZB29	1-211		PRO_0000462114	Thymidylate kinase	chain
A1ZB42	1-144		PRO_0000304150	Mediator of RNA polymerase II transcription subunit 9	chain
A1ZB86	1-609		PRO_0000424032	Kelch domain-containing protein 10 homolog	chain
A1ZB91	1-540		PRO_0000297584	Dynein axonemal assembly factor 3 homolog	chain
A1ZBD6	1-912		PRO_0000441713	Multiple C2 and transmembrane domain-containing protein	chain
A1ZBE8	1-2599		PRO_0000297953	Protein DOP1 homolog	chain
A1ZBR5	1-266		PRO_0000379044	Protein crossbronx-like	chain
A1ZBT5	1-252		PRO_0000304531	Mediator of RNA polymerase II transcription subunit 8	chain
A1ZBW7	1-1469		PRO_0000372653	WASH complex subunit 2	chain
A1ZBY1	1-650		PRO_0000324541	Protein fem-1 homolog B	chain
A2VEI2	?-525		PRO_0000399812	Calcium uptake protein 1 homolog, mitochondrial	chain
A2VEY9	1-693		PRO_0000438852	Palmitoyltransferase app	chain
A3RLR0	1-11		PRO_0000435527	Peptide tarsal-less 3A	chain
A3RLR1	1-32		PRO_0000435524	Peptide tarsal-less AA	chain
A4VCL2	77-528		PRO_0000433617	Extracellular serine	chain
A6MHQ4	1-658		PRO_0000310473	Sodium	chain
A8DYE2	1-2023		PRO_0000341487	Transient receptor potential cation channel trpm	chain
A8DYH2	1-83		PRO_0000392003	Ubiquitin-fold modifier 1	chain
A8DYP0	1-4218	ECO:0000305	PRO_0000438925	Protein Obscurin	chain
A8DYP7	1-459		PRO_0000454442	Cyclic GMP-AMP synthase-like receptor 2	chain
A8DYY5	1-143		PRO_0000416290	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog	chain
A8DYY6	1-616	ECO:0000305	PRO_0000436305	Schwannomin-interacting protein 1 homolog	chain
A8JNV4	1-144		PRO_0000420205	Biogenesis of lysosome-related organelles complex 1 subunit 3	chain
A8JQ65	1-1895		PRO_0000375987	Diacylglycerol kinase eta	chain
A8JQX3	1-642	ECO:0000305	PRO_0000448000	Nocturnin	chain
A8JR14	1-255		PRO_0000385300	Aprataxin and PNK-like factor	chain
A8JR92	1-1583		PRO_0000460436	Methyl-CpG-binding domain protein 5	chain
A8JUP7	27-637		PRO_5006947370	Serine protease Hayan	chain
A8JUV0	1-1653		PRO_0000328929	Protein strawberry notch	chain
A8JUV4	22-578	ECO:0000255	PRO_5015086652	Vitelline membrane-like protein	chain
A8MPH9	1-722		PRO_0000377385	Transcription factor kayak, isoforms D	chain
B4F7L9	1-1069		PRO_0000377422	WD repeat-containing protein on Y chromosome	chain
B5A5T4	33-127	ECO:0000255	PRO_0000359760	UPAR	chain
B6JUP5	1-1031		PRO_0000396515	Sister chromatid cohesion protein solo	chain
B6VQA1	1-390		PRO_0000412993	Protein dimmed	chain
B7TB45	499-886	ECO:0000303|PubMed:24124519	PRO_5007308668	Neurotrophin 1	chain
B7YZT2	1-154		PRO_0000442534	Mitochondrial fission 1 protein	chain
B7YZU2	1-1693	ECO:0000255	PRO_0000445007	Serine protease filzig	chain
B7YZV4	1-834		PRO_0000438861	Dual specificity calcium	chain
B7Z031	1-555		PRO_0000438383	Protein peste	chain
B7Z073	1-129		PRO_0000385322	SOSS complex subunit C homolog	chain
B7Z0E2	1-1039		PRO_0000460337	RNA-binding protein Unr	chain
B7Z0I7	1-351	ECO:0000305	PRO_0000436527	Snurportin-1	chain
B7Z0K8	1-822		PRO_0000388711	Collagen alpha chain CG42342	chain
B7Z0L8	1-178		PRO_0000460346	Protein modigliani	chain
B7Z0W9	1-1576		PRO_0000443805	Proton channel OtopLc	chain
B7Z0X7	1-61		PRO_0000460645	Ubiquinol-cytochrome c reductase complex assembly factor 6	chain
C0HJH3	1-29		PRO_0000426726	Sarcolamban B	chain
C0HJH4	1-28		PRO_0000426725	Sarcolamban A	chain
C0HJX4	1-11		PRO_0000435525	Peptide tarsal-less 1A	chain
C0HJX5	1-11		PRO_0000435526	Peptide tarsal-less 2A	chain
C0HK92	1-619		PRO_0000438590	Uncharacterized protein CG45076	chain
C0HK94	1-163		PRO_0000438589	Uncharacterized protein CG45078	chain
C0HK95	1-131		PRO_0000087203	Protein anoxia up-regulated	chain
C0HK98	22-185		PRO_0000023910	Peptidoglycan-recognition protein SC1a	chain
C0HK99	22-185		PRO_0000438897	Peptidoglycan-recognition protein SC1b	chain
C0HKA0	1-151		PRO_0000123342	Small ribosomal subunit protein uS11A	chain
C0HKA1	1-151		PRO_0000438898	Small ribosomal subunit protein uS11B	chain
C0HKA2	31-253	ECO:0000255	PRO_0000028270	Trypsin delta	chain
C0HKA3	31-253	ECO:0000255	PRO_0000438900	Trypsin gamma	chain
C0HKA4	31-253		PRO_0000438902	Trypsin delta	chain
C0HKF7	36-265		PRO_0000440558	Serine protease 1	chain
C0HKF8	36-265		PRO_0000028138	Serine protease 2	chain
C0HKQ7	24-62		PRO_0000441212	Cecropin-A1	chain
C0HKQ8	24-62		PRO_0000441213	Cecropin-A2	chain
C0HL62	19-104		PRO_0000006394	Larval cuticle protein 65Ab1	chain
C0HL63	19-104		PRO_0000444631	Larval cuticle protein 65Ab2	chain
C0HL64	19-105		PRO_0000006395	Larval cuticle protein 65Ag1	chain
C0HL65	19-105		PRO_0000443304	Larval cuticle protein 65Ag2	chain
C0HL66	2-136		PRO_0000221302	Histone H3.3A	chain
C0HL67	2-136		PRO_0000443324	Histone H3.3B	chain
C4NYP8	1-377		PRO_0000393584	Hsc70-interacting protein 1	chain
D5SHR0	1-367		PRO_0000454471	BTB	chain
E1JH25	1-1876		PRO_0000440616	Protein telomere ends associated	chain
E1JI63	1-556		PRO_0000414928	Sensory neuron membrane protein 2	chain
E1JIB2	1-287		PRO_0000455636	Iodotyrosine deiodinase	chain
E1JIT7	1-1601	ECO:0000305	PRO_0000449250	PH and SEC7 domain-containing protein	chain
E9NA96	31-947		PRO_5007189792	Ionotropic receptor 25a	chain
F0JAI6	1-548		PRO_0000438398	Kinetochore and Eb1-associated basic protein	chain
F3YDF1	1-740		PRO_0000448069	ATP-dependent zinc metalloprotease YME1L	chain
M9MRD1	1-12345		PRO_0000454910	Muscle-specific protein 300 kDa	chain
M9MRD5	1-177	ECO:0000305	PRO_0000445801	B9 domain-containing protein 2	chain
M9MRI4	1-740	ECO:0000305	PRO_0000440178	E3 ubiquitin-protein ligase TRIM9	chain
M9MS50	1-869		PRO_0000462996	Serine-arginine protein kinase at 79D	chain
M9MSG8	1-2551		PRO_0000432404	Piezo-type mechanosensitive ion channel component	chain
M9NDE3	35-3123		PRO_5004101294	Protein bark beetle	chain
M9NE38	1-1912		PRO_0000439053	Protein javelin	chain
M9NEY8	1-2860		PRO_0000433611	Methylcytosine dioxygenase TET	chain
M9PBE2	1-473		PRO_0000444614	E3 ubiquitin-protein ligase Hakai	chain
M9PD06	1-1715	ECO:0000255	PRO_0000442142	Ubiquitin carboxyl-terminal hydrolase 32	chain
M9PE65	19-2179	ECO:0000255	PRO_5015096687	Axotactin	chain
M9PF61	1-350		PRO_0000461209	Aldo-keto reductase 1B	chain
M9PFN0	1-352		PRO_0000448931	Phosphatase Herzog	chain
M9PGC5	1-2462		PRO_0000458630	Serine	chain
M9PH32	1-1206		PRO_0000462292	Protein meiotic P26	chain
O01346	1-457		PRO_0000059274	Glycolipid beta-1,4-mannosyltransferase egh	chain
O01352	1-248		PRO_0000079924	Sperm-specific protein Don juan	chain
O01367	1-405		PRO_0000050113	Protein held out wings	chain
O01382	231-339	ECO:0000250	PRO_0000004669	Caspase subunit p12	chain
O01382	29-217	ECO:0000250	PRO_0000004667	Caspase subunit p21	chain
O01404	25-365		PRO_0000248571	Peptidylglycine alpha-hydroxylating monooxygenase	chain
O01666	?-297		PRO_0000002688	ATP synthase subunit gamma, mitochondrial	chain
O01668	1-369		PRO_0000197634	Opsin Rh6	chain
O01939	1-574		PRO_0000304632	Protein misato	chain
O02002	216-323		PRO_0000004665	Caspase-1 subunit p13	chain
