entry	pos	evidence	note	origin
A0A0B4K692	83-774	ECO:0000255|PROSITE-ProRule:PRU01233	Peptidase M13	domain_ft
A0A0B4K7J2	1309-1445	ECO:0000255|PROSITE-ProRule:PRU00164	RanBD1 1	domain_ft
A0A0B4K7J2	1605-1742	ECO:0000255|PROSITE-ProRule:PRU00164	RanBD1 2	domain_ft
A0A0B4K7J2	2019-2151	ECO:0000255|PROSITE-ProRule:PRU00164	RanBD1 3	domain_ft
A0A0B4K7J2	2556-2699	ECO:0000255|PROSITE-ProRule:PRU00164	RanBD1 4	domain_ft
A0A0B4KEE4	801-963	ECO:0000255|PROSITE-ProRule:PRU00802	SUN	domain_ft
A0A0B4KGY6	273-340	ECO:0000255|PROSITE-ProRule:PRU00117	KH 1	domain_ft
A0A0B4KGY6	366-432	ECO:0000255|PROSITE-ProRule:PRU00117	KH 2	domain_ft
A0A0B4KGY6	691-758	ECO:0000255|PROSITE-ProRule:PRU00117	KH 3	domain_ft
A0A0B7P9G0	182-361	ECO:0000255|PROSITE-ProRule:PRU01193	CNNM transmembrane	domain_ft
A0A0B7P9G0	380-441	ECO:0000255|PROSITE-ProRule:PRU00703	CBS 1	domain_ft
A0A0B7P9G0	448-515	ECO:0000255|PROSITE-ProRule:PRU00703	CBS 2	domain_ft
A0A126GUP6	138-399	ECO:0000255|PROSITE-ProRule:PRU00274	Peptidase S1	domain_ft
A0A126GUP6	28-91	ECO:0000255|PROSITE-ProRule:PRU01236	Clip	domain_ft
A0A1F4	1018-1054	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 8	domain_ft
A0A1F4	1059-1266	ECO:0000255|PROSITE-ProRule:PRU00122	Laminin G-like 1	domain_ft
A0A1F4	1309-1346	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 9	domain_ft
A0A1F4	1353-1549	ECO:0000255|PROSITE-ProRule:PRU00122	Laminin G-like 2	domain_ft
A0A1F4	144-180	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 1	domain_ft
A0A1F4	1545-1581	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 10	domain_ft
A0A1F4	1583-1621	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 11	domain_ft
A0A1F4	1692-1879	ECO:0000255|PROSITE-ProRule:PRU00122	Laminin G-like 3	domain_ft
A0A1F4	182-218	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 2; calcium-binding	domain_ft
A0A1F4	1875-1912	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 12	domain_ft
A0A1F4	1913-1946	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 13	domain_ft
A0A1F4	1952-2166	ECO:0000255|PROSITE-ProRule:PRU00122	Laminin G-like 4	domain_ft
A0A1F4	220-256	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 3; calcium-binding	domain_ft
A0A1F4	258-298	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 4	domain_ft
A0A1F4	300-336	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 5; calcium-binding	domain_ft
A0A1F4	338-374	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 6	domain_ft
A0A1F4	376-413	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 7; calcium-binding	domain_ft
A1Z6E0	234-279	ECO:0000255|PROSITE-ProRule:PRU00194	SOCS box	domain_ft
A1Z6E0	36-233	ECO:0000255|PROSITE-ProRule:PRU00548	B30.2	domain_ft
A1Z6J5	31-75	ECO:0000255|PROSITE-ProRule:PRU00045	CAP-Gly	domain_ft
A1Z6K7	11-145	ECO:0000255|PROSITE-ProRule:PRU01182	MPN	domain_ft
A1Z6W3	515-623	ECO:0000255|PROSITE-ProRule:PRU00636	PET	domain_ft
A1Z6W3	622-686	ECO:0000255|PROSITE-ProRule:PRU00125	LIM zinc-binding 1	domain_ft
A1Z6W3	687-747	ECO:0000255|PROSITE-ProRule:PRU00125	LIM zinc-binding 2	domain_ft
A1Z6W3	748-810	ECO:0000255|PROSITE-ProRule:PRU00125	LIM zinc-binding 3	domain_ft
A1Z713	2351-2598	ECO:0000255	SHR-BD	domain_ft
A1Z713	3-116	ECO:0000255	Chorein N-terminal	domain_ft
A1Z7A6	1091-1155	ECO:0000255|PROSITE-ProRule:PRU00192	SH3	domain_ft
A1Z7A6	310-404	ECO:0000255|PROSITE-ProRule:PRU00145	PH	domain_ft
A1Z7A6	427-547	ECO:0000255|PROSITE-ProRule:PRU00288	Arf-GAP	domain_ft
A1Z7G7	11-100	ECO:0000255|PROSITE-ProRule:PRU00260	SUEL-type lectin	domain_ft
A1Z7G7	547-740	ECO:0000255|PROSITE-ProRule:PRU00098	GAIN-B	domain_ft
A1Z7K9	1036-1208	ECO:0000255|HAMAP-Rule:MF_03182	Exonuclease	domain_ft
A1Z7K9	474-966	ECO:0000255|HAMAP-Rule:MF_03182	USP	domain_ft
A1Z7L8	294-323	ECO:0000255|PROSITE-ProRule:PRU00585	GS	domain_ft
A1Z7L8	324-614	ECO:0000255|PROSITE-ProRule:PRU00159	Protein kinase	domain_ft
A1Z7T0	1123-1190	ECO:0000255|PROSITE-ProRule:PRU00618	AGC-kinase C-terminal	domain_ft
A1Z7T0	142-219	ECO:0000255|PROSITE-ProRule:PRU01207	REM-1 2	domain_ft
A1Z7T0	242-322	ECO:0000255|PROSITE-ProRule:PRU01207	REM-1 3	domain_ft
A1Z7T0	28-102	ECO:0000255|PROSITE-ProRule:PRU01207	REM-1 1	domain_ft
A1Z7T0	359-515	ECO:0000255|PROSITE-ProRule:PRU00041	C2	domain_ft
A1Z7T0	863-1122	ECO:0000255|PROSITE-ProRule:PRU00159	Protein kinase	domain_ft
A1Z877	107-260	ECO:0000255|PROSITE-ProRule:PRU00570	NIDO	domain_ft
A1Z877	281-321	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 1	domain_ft
A1Z877	325-550	ECO:0000255|PROSITE-ProRule:PRU00348	Nidogen G2 beta-barrel	domain_ft
A1Z877	545-583	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 2	domain_ft
A1Z877	591-631	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 3; calcium-binding	domain_ft
A1Z877	788-829	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 4	domain_ft
A1Z877	832-874	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 5	domain_ft
A1Z877	912-953	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 6	domain_ft
A1Z877	955-996	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 7	domain_ft
A1Z877	997-1037	ECO:0000255|PROSITE-ProRule:PRU00076	EGF-like 8	domain_ft
A1Z9E2	737-849	ECO:0000255|PROSITE-ProRule:PRU00971	CRC	domain_ft
A1Z9L3	285-356	ECO:0000255|PROSITE-ProRule:PRU00180	S1 motif	domain_ft
A1Z9L3	596-759	ECO:0000255|PROSITE-ProRule:PRU00541	Helicase ATP-binding	domain_ft
A1Z9L3	777-957	ECO:0000255|PROSITE-ProRule:PRU00542	Helicase C-terminal	domain_ft
A1Z9P3	1305-1572	ECO:0000255|PROSITE-ProRule:PRU00638	ASD2	domain_ft
A1Z9X0	264-532	ECO:0000255|PROSITE-ProRule:PRU00159	Protein kinase	domain_ft
A1Z9X0	30-113	ECO:0000255|PROSITE-ProRule:PRU01081	PB1	domain_ft
A1Z9X0	533-604	ECO:0000255|PROSITE-ProRule:PRU00618	AGC-kinase C-terminal	domain_ft
A1ZA47	2018-2078	ECO:0000255|PROSITE-ProRule:PRU00125	LIM zinc-binding 2	domain_ft
A1ZA47	2079-2138	ECO:0000255|PROSITE-ProRule:PRU00125	LIM zinc-binding 3	domain_ft
A1ZA47	2139-2194	ECO:0000255|PROSITE-ProRule:PRU00125	LIM zinc-binding 4	domain_ft
A1ZA47	280-339	ECO:0000255|PROSITE-ProRule:PRU00125	LIM zinc-binding 1	domain_ft
A1ZA47	8-90	ECO:0000255|PROSITE-ProRule:PRU00143	PDZ	domain_ft
A1ZAB5	424-666	ECO:0000255|PROSITE-ProRule:PRU01167	Clu	domain_ft
A1ZAC4	613-670	ECO:0000255|PROSITE-ProRule:PRU00211	Tudor	domain_ft
A1ZAJ2	1537-1635	ECO:0000255|PROSITE-ProRule:PRU00145	PH	domain_ft
A1ZAJ2	3-351	ECO:0000255|PROSITE-ProRule:PRU00283	Kinesin motor	domain_ft
A1ZAJ2	499-565	ECO:0000255	FHA	domain_ft
A1ZAU8	1489-1623	ECO:0000255|PROSITE-ProRule:PRU00841	CKK	domain_ft
A1ZAU8	156-288	ECO:0000255|PROSITE-ProRule:PRU00044	Calponin-homology (CH)	domain_ft
A1ZAV1	755-915	ECO:0000255|PROSITE-ProRule:PRU00041	C2	domain_ft
A1ZAW0	1177-1382	ECO:0000255|PROSITE-ProRule:PRU00177	RNase III 1	domain_ft
A1ZAW0	1433-1628	ECO:0000255|PROSITE-ProRule:PRU00177	RNase III 2	domain_ft
A1ZAW0	15-193	ECO:0000255|PROSITE-ProRule:PRU00541	Helicase ATP-binding	domain_ft
A1ZAW0	1697-1719	ECO:0000255|PROSITE-ProRule:PRU00266	DRBM	domain_ft
A1ZAW0	366-536	ECO:0000255|PROSITE-ProRule:PRU00542	Helicase C-terminal	domain_ft
A1ZAW0	571-673	ECO:0000255|PROSITE-ProRule:PRU00657	Dicer dsRNA-binding fold	domain_ft
A1ZAW0	875-929	ECO:0000255|PROSITE-ProRule:PRU00142	PAZ	domain_ft
A1ZAX1	639-815	ECO:0000255|PROSITE-ProRule:PRU01185	PCI	domain_ft
A1ZAY1	183-243	ECO:0000255|PROSITE-ProRule:PRU00192	SH3 2	domain_ft
A1ZAY1	287-352	ECO:0000255|PROSITE-ProRule:PRU00192	SH3 3	domain_ft
