entry	ensembl	entry_name	reviewed	protein_names	gene_names	length	organism	organism_id	pfam	supfam
A0A0B4K692		NEP2_DROME	reviewed	Neprilysin-2 (EC 3.4.24.11) [Cleaved into: Neprilysin-2, soluble form]	Nep2 CG9761	774	Drosophila melanogaster (Fruit fly)	7227	PF01431;PF05649;	SSF55486;
A0A0B4K7J2		RBP2_DROME	reviewed	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358)	Nup358 RanBP2 CG11856	2718	Drosophila melanogaster (Fruit fly)	7227	PF00638;PF00641;	SSF50729;SSF90209;SSF48452;
A0A0B4K7K9		ERC_DROME	reviewed	Protein bruchpilot (Cytomatrix at the active zone associated structural protein) (Cytoskeletal matrix associated with the active zone-associated structural protein) (CAZ-associated structural protein) (ELKS-CAST-ERC homolog)	brp Cast nc82 CG42344	2238	Drosophila melanogaster (Fruit fly)	7227	PF10174;	SSF57997;
A0A0B4KEE4		KOI_DROME	reviewed	Klaroid protein	koi CG44154	965	Drosophila melanogaster (Fruit fly)	7227	PF07738;	
A0A0B4KGY6		NOVA_DROME	reviewed	RNA-binding protein Pasilla	ps l(3)10615 NOVA1 CG42670	780	Drosophila melanogaster (Fruit fly)	7227	PF00013;	SSF54791;
A0A0B4LFY9		STING_DROME	reviewed	Stimulator of interferon genes protein homolog (dSTING) (dmSTING)	Sting CG1667	343	Drosophila melanogaster (Fruit fly)	7227	PF15009;PF23417;	
A0A0B7P9G0		UEX_DROME	reviewed	Unextended protein (Putative metal transporter uex)	uex 41Ad GroupIII l(2)41Ad CG42595	834	Drosophila melanogaster (Fruit fly)	7227	PF25562;PF01595;	SSF51206;SSF54631;
A0A0U1QT59		TMC_DROME	reviewed	Transmembrane channel-like protein	Tmc CG46121	2036	Drosophila melanogaster (Fruit fly)	7227	PF07810;	
A0A126GUP6		MP1_DROME	reviewed	Melanization protease 1 (EC 3.4.21.-)	MP1 CG1102	400	Drosophila melanogaster (Fruit fly)	7227	PF12032;PF00089;	SSF50494;
A0A1F4		EYS_DROME	reviewed	Protein eyes shut (Protein spacemaker)	eys spam CG33955	2176	Drosophila melanogaster (Fruit fly)	7227	PF00008;PF12661;PF02210;	SSF49899;SSF57196;
A1Z6E0		GUS_DROME	reviewed	Protein gustavus	gus CG2944	279	Drosophila melanogaster (Fruit fly)	7227	PF07525;PF00622;	SSF49899;SSF158235;
A1Z6H7		PO210_DROME	reviewed	Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Glycoprotein 210 kDa) (Nuclear pore membrane glycoprotein gp188) (Nucleoporin Nup210) (Nup210)	Gp210 Gp188 lyadi CG7897	1876	Drosophila melanogaster (Fruit fly)	7227	PF26181;PF25354;PF22967;PF22969;PF22963;PF26182;PF24935;PF22962;PF24902;	SSF49373;
A1Z6S7		GDS1_DROME	reviewed	GTPase-GDP dissociation stimulator vimar	vimar l(2)k16722 CG3572	635	Drosophila melanogaster (Fruit fly)	7227		SSF48371;
A1Z6W3		PRIC1_DROME	reviewed	Protein prickle (Protein spiny legs)	pk CG11084	1299	Drosophila melanogaster (Fruit fly)	7227	PF00412;PF06297;	SSF57716;
A1Z7A6		ASAP_DROME	reviewed	ArfGAP with SH3 domain, ANK repeat and PH domain-containing protein	Asap Asap1 CG30372	1155	Drosophila melanogaster (Fruit fly)	7227	PF12796;PF01412;PF16746;PF00169;PF14604;	SSF48403;SSF57863;SSF103657;SSF50729;SSF50044;
A1Z7A8		COIL_DROME	reviewed	Coilin	coil CG8710	634	Drosophila melanogaster (Fruit fly)	7227	PF15862;	
A1Z7G7		LPHN_DROME	reviewed	Latrophilin Cirl	Cirl CG8639	1697	Drosophila melanogaster (Fruit fly)	7227	PF00002;PF16489;PF01825;PF02140;	SSF81321;
A1Z7K9		PAN2_DROME	reviewed	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	PAN2 CG8232	1241	Drosophila melanogaster (Fruit fly)	7227	PF20770;PF00929;PF13423;	SSF54001;SSF53098;SSF50978;
A1Z7L8		TGFR1_DROME	reviewed	Receptor protein serine/threonine kinase babo (EC 2.7.11.30) (Protein baboon)	babo Atr-1 Atr-I CG8224	622	Drosophila melanogaster (Fruit fly)	7227	PF01064;PF07714;PF08515;	SSF56112;SSF57302;
A1Z7R6		S46_DROME	reviewed	Probable peptidoglycan muropeptide transporter SLC46 (Solute carrier family 46 member)	SLC46 Dmel\CG8046 CG8046 Dmel_CG8046	519	Drosophila melanogaster (Fruit fly)	7227	PF07690;	SSF103473;
A1Z7T0		PKN_DROME	reviewed	Serine/threonine-protein kinase N (EC 2.7.11.13) (Protein kinase related to PKN)	Pkn Dpkn CG2049	1190	Drosophila melanogaster (Fruit fly)	7227	PF02185;PF00069;PF00433;	SSF49562;SSF46585;SSF56112;
A1Z7Z9		CP131_DROME	reviewed	Centrosomal protein of 131 kDa (5-azacytidine-induced protein 1) (Dilatory protein)	dila azi1 cep131 Dmel_CG1625	1134	Drosophila melanogaster (Fruit fly)	7227		
A1Z877		NDG_DROME	reviewed	Nidogen (Entactin)	Ndg CG12908	1350	Drosophila melanogaster (Fruit fly)	7227	PF12947;PF07645;PF07474;PF00058;PF06119;	SSF57196;SSF54511;SSF57184;SSF63825;
