entry	pos	evidence	note	origin
A0A0B7P9G0	1-20	ECO:0000255		signal_peptide
A0A126GUP6	1-22	ECO:0000255		signal_peptide
A1Z6H7	1-20	ECO:0000255		signal_peptide
A1Z7L8	1-20	ECO:0000255		signal_peptide
A1Z877	1-22	ECO:0000255		signal_peptide
A1ZB62	1-22	ECO:0000250|UniProtKB:P82706		signal_peptide
A1ZB63	1-18	ECO:0000255		signal_peptide
A1ZB64	1-18	ECO:0000255		signal_peptide
A8JUP7	1-26	ECO:0000255		signal_peptide
A8JUV4	1-21	ECO:0000255		signal_peptide
B5A5T4	1-32	ECO:0000255		signal_peptide
B7TB45	1-29	ECO:0000255		signal_peptide
C0HK98	1-21	ECO:0000255		signal_peptide
C0HK99	1-21	ECO:0000255		signal_peptide
C0HKA2	1-22	ECO:0000305		signal_peptide
C0HKA3	1-22	ECO:0000305		signal_peptide
C0HKA4	1-22	ECO:0000305		signal_peptide
C0HKF7	1-21	ECO:0000305		signal_peptide
C0HKF8	1-21	ECO:0000305		signal_peptide
C0HKQ7	1-23	ECO:0000255		signal_peptide
C0HKQ8	1-23	ECO:0000255		signal_peptide
C0HL62	1-18	ECO:0000269|PubMed:9654737		signal_peptide
C0HL63	1-18	ECO:0000269|PubMed:9654737		signal_peptide
C0HL64	1-18	ECO:0000269|PubMed:9654737		signal_peptide
C0HL65	1-18	ECO:0000269|PubMed:9654737		signal_peptide
C0HLZ9	1-19	ECO:0000255		signal_peptide
C0HM00	1-19	ECO:0000255		signal_peptide
E9NA96	1-30	ECO:0000255		signal_peptide
G5CKU5	1-22	ECO:0000305|PubMed:21704020		signal_peptide
M9NDE3	1-34	ECO:0000255		signal_peptide
M9PE65	1-18	ECO:0000255		signal_peptide
O01404	1-24	ECO:0000255		signal_peptide
O02372	1-29	ECO:0000255		signal_peptide
O15943	1-36	ECO:0000255		signal_peptide
O18408	1-19	ECO:0000250		signal_peptide
O44342	1-21	ECO:0000255		signal_peptide
O44386	1-24	ECO:0000255		signal_peptide
O46107	1-24	ECO:0000255		signal_peptide
O46108	1-20	ECO:0000255		signal_peptide
O46197	1-21	ECO:0000255		signal_peptide
O46199	1-23	ECO:0000255		signal_peptide
O46200	1-16	ECO:0000255		signal_peptide
O46201	1-16	ECO:0000255		signal_peptide
O46202	1-24	ECO:0000255		signal_peptide
O46203	1-19	ECO:0000255		signal_peptide
O46227	1-21	ECO:0000305		signal_peptide
O61643	1-?	ECO:0000255		signal_peptide
O62589	1-19	ECO:0000255		signal_peptide
O76879	1-25	ECO:0000255		signal_peptide
O77150	1-20	ECO:0000255		signal_peptide
O77277	1-24	ECO:0000255		signal_peptide
O77438	1-19	ECO:0000255		signal_peptide
O96690	1-24	ECO:0000255		signal_peptide
O97176	1-19	ECO:0000255		signal_peptide
O97394	1-47	ECO:0000255		signal_peptide
P02840	1-23	ECO:0000255		signal_peptide
P02844	1-19	ECO:0000255		signal_peptide
P04412	1-30	ECO:0000255		signal_peptide
P04755	1-24	ECO:0000255		signal_peptide
P04814	1-22	ECO:0000305		signal_peptide
P05049	1-27	ECO:0000255		signal_peptide
P05623	1-19	ECO:0000269|PubMed:3135120		signal_peptide
P07182	1-20	ECO:0000255		signal_peptide
P07184	1-17	ECO:0000255		signal_peptide
P07185	1-18	ECO:0000255		signal_peptide
P07186	1-21	ECO:0000255		signal_peptide
P07190	1-19	ECO:0000255		signal_peptide
P07191	1-23	ECO:0000255		signal_peptide
P07192	1-19	ECO:0000255		signal_peptide
P07207	1-52	ECO:0000255		signal_peptide
P07701	1-18	ECO:0000255		signal_peptide
P07713	1-23	ECO:0000255		signal_peptide
P08953	1-27	ECO:0000255		signal_peptide
P09040	1-33	ECO:0000255		signal_peptide
P09208	1-43	ECO:0000255		signal_peptide
P09957	1-21	ECO:0000255		signal_peptide
P10041	1-18	ECO:0000255		signal_peptide
P10333	1-18	ECO:0000255		signal_peptide
P10334	1-21	ECO:0000255		signal_peptide
P10379	1-21	ECO:0000255		signal_peptide
P10552	1-22	ECO:0000255		signal_peptide
P10674	1-21	ECO:0000255		signal_peptide
P11046	1-24	ECO:0000255		signal_peptide
P11449	1-18	ECO:0000255		signal_peptide
P11584	1-28	ECO:0000255		signal_peptide
P11995	1-16	ECO:0000255		signal_peptide
P11996	1-16	ECO:0000255		signal_peptide
P11997	1-16	ECO:0000255		signal_peptide
P12024	1-29	ECO:0000269|PubMed:6420071		signal_peptide
P12080	1-31	ECO:0000255		signal_peptide
P13238	1-23	ECO:0000255		signal_peptide
P13582	1-19	ECO:0000305		signal_peptide
P14484	1-15	ECO:0000255		signal_peptide
P14599	1-27	ECO:0000255		signal_peptide
P15215	1-33	ECO:0000255		signal_peptide
P15364	1-23	ECO:0000255		signal_peptide
P15425	1-20	ECO:0000255		signal_peptide
P16548	1-22	ECO:0000255		signal_peptide
P16620	1-28	ECO:0000255		signal_peptide
P17207	1-17	ECO:0000255		signal_peptide
P17644	1-21	ECO:0000305		signal_peptide
P18168	1-82	ECO:0000255		signal_peptide
P18169	1-19	ECO:0000255		signal_peptide
P18170	1-19	ECO:0000255		signal_peptide
P18171	1-19	ECO:0000255		signal_peptide
P18475	1-20	ECO:0000255		signal_peptide
P18537	1-18	ECO:0000255		signal_peptide
P20241	1-23	ECO:0000269|PubMed:2805067		signal_peptide
P21520	1-51	ECO:0000255		signal_peptide
P21663	1-23	ECO:0000255		signal_peptide
P21750	1-16	ECO:0000255		signal_peptide
P22270	1-26	ECO:0000255		signal_peptide
P22815	1-31	ECO:0000255		signal_peptide
P22977	1-20	ECO:0000255		signal_peptide
P23488	1-18	ECO:0000255		signal_peptide
P23938	1-24	ECO:0000255		signal_peptide
P24492	1-19	ECO:0000305		signal_peptide
P25123	1-44	ECO:0000255		signal_peptide
P25162	1-18	ECO:0000255		signal_peptide
P25723	1-36	ECO:0000255		signal_peptide
P26016	1-?	ECO:0000255		signal_peptide
P26023	1-22	ECO:0000255		signal_peptide
P27091	1-36	ECO:0000255		signal_peptide
P27779	1-16	ECO:0000255		signal_peptide
P27780	1-17	ECO:0000255		signal_peptide
P28465	1-23	ECO:0000255		signal_peptide
P28466	1-29	ECO:0000255		signal_peptide
P29413	1-17	ECO:0000255		signal_peptide
